used,len_groups,len_unique,new_size,entropy_full,entropy_cut
"['education', 'gender', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1346,949,1051,10.1728,8.5285
"['state', 'children', 'marital_status', 'accommodation', 'disease']",1320,949,1051,10.0979,8.386
"['state', 'children', 'employment', 'accommodation', 'disease']",1333,963,1037,10.1243,8.3952
"['gender', 'dob', 'accommodation', 'disease']",1417,972,1028,10.3218,8.7527
"['dob', 'commute_time', 'accommodation', 'disease']",1401,1007,993,10.2655,8.5452
"['education', 'dob', 'children', 'disease']",1431,1008,992,10.3319,8.6762
"['state', 'marital_status', 'commute_time', 'disease']",1380,1011,989,10.2001,8.4014
"['education', 'gender', 'state', 'disease']",1401,1012,988,10.2596,8.5188
"['dob', 'employment', 'marital_status', 'disease']",1392,1013,987,10.2364,8.469
"['gender', 'dob', 'commute_time', 'disease']",1428,1024,976,10.3124,8.5918
"['state', 'employment', 'marital_status', 'disease']",1383,1026,974,10.1916,8.3381
"['gender', 'state', 'children', 'number_vehicles', 'disease']",1420,1040,960,10.2853,8.4893
"['state', 'number_vehicles', 'commute_time', 'disease']",1425,1044,956,10.2928,8.493
"['dob', 'children', 'employment', 'marital_status', 'disease']",1414,1051,949,10.2615,8.406
"['state', 'children', 'marital_status', 'commute_time', 'disease']",1405,1051,949,10.2314,8.3425
"['education', 'state', 'children', 'accommodation', 'disease']",1431,1054,946,10.3031,8.4846
"['state', 'children', 'employment', 'marital_status', 'disease']",1403,1058,942,10.216,8.2878
"['gender', 'state', 'employment', 'commute_time', 'disease']",1443,1073,927,10.3139,8.4501
"['state', 'employment', 'commute_time', 'accommodation', 'disease']",1428,1075,925,10.2752,8.3601
"['dob', 'children', 'commute_time', 'accommodation', 'disease']",1448,1079,921,10.324,8.4534
"['gender', 'dob', 'children', 'accommodation', 'disease']",1482,1080,920,10.397,8.6089
"['education', 'gender', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1442,1082,918,10.3046,8.4018
"['dob', 'number_vehicles', 'accommodation', 'disease']",1471,1084,916,10.3724,8.5435
"['dob', 'employment', 'number_vehicles', 'disease']",1467,1086,914,10.3632,8.5174
"['education', 'state', 'commute_time', 'disease']",1460,1086,914,10.3432,8.4738
"['dob', 'employment', 'commute_time', 'accommodation', 'disease']",1447,1087,913,10.3167,8.4126
"['gender', 'state', 'number_vehicles', 'accommodation', 'disease']",1475,1106,894,10.3649,8.4598
"['gender', 'dob', 'employment', 'commute_time', 'disease']",1475,1106,894,10.3647,8.4593
"['state', 'marital_status', 'number_vehicles', 'disease']",1453,1107,893,10.3094,8.3324
"['dob', 'marital_status', 'accommodation', 'disease']",1481,1109,891,10.3792,8.4826
"['gender', 'dob', 'children', 'commute_time', 'disease']",1486,1111,889,10.3852,8.4898
"['state', 'employment', 'number_vehicles', 'disease']",1468,1118,882,10.3355,8.3555
"['education', 'gender', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1464,1121,879,10.3293,8.3315
"['education', 'state', 'employment', 'disease']",1490,1128,872,10.3834,8.4325
"['dob', 'children', 'marital_status', 'accommodation', 'disease']",1495,1132,868,10.3956,8.4477
"['state', 'children', 'marital_status', 'number_vehicles', 'disease']",1473,1139,861,10.3346,8.2837
"['education', 'gender', 'state', 'children', 'disease']",1489,1141,859,10.3728,8.3659
"['education', 'dob', 'employment', 'disease']",1513,1142,858,10.4279,8.491
"['gender', 'dob', 'marital_status', 'disease']",1510,1143,857,10.4205,8.4706
"['education', 'state', 'number_vehicles', 'disease']",1503,1143,857,10.4022,8.4279
"['gender', 'state', 'employment', 'accommodation', 'disease']",1494,1145,855,10.3828,8.376
"['gender', 'state', 'commute_time', 'accommodation', 'disease']",1501,1149,851,10.3961,8.3943
"['dob', 'children', 'number_vehicles', 'accommodation', 'disease']",1516,1150,850,10.43,8.4706
"['education', 'state', 'marital_status', 'disease']",1487,1151,849,10.3613,8.3055
"['state', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",1481,1155,845,10.3431,8.249
"['dob', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",1492,1157,843,10.3724,8.3117
"['gender', 'dob', 'employment', 'accommodation', 'disease']",1527,1158,842,10.4462,8.4836
"['dob', 'marital_status', 'commute_time', 'disease']",1502,1159,841,10.3892,8.3449
"['dob', 'children', 'employment', 'number_vehicles', 'disease']",1517,1162,838,10.4254,8.421
"['state', 'children', 'number_vehicles', 'commute_time', 'disease']",1500,1164,836,10.3835,8.3143
"['gender', 'state', 'children', 'employment', 'commute_time', 'disease']",1502,1168,832,10.3857,8.306
"['gender', 'dob', 'children', 'marital_status', 'disease']",1525,1170,830,10.4366,8.4219
"['dob', 'children', 'marital_status', 'commute_time', 'disease']",1519,1190,810,10.4079,8.2842
"['gender', 'dob', 'children', 'employment', 'commute_time', 'disease']",1531,1192,808,10.4343,8.3426
"['education', 'state', 'children', 'marital_status', 'disease']",1511,1194,806,10.3874,8.2194
"['education', 'state', 'children', 'commute_time', 'disease']",1528,1196,804,10.4258,8.3077
"['education', 'dob', 'children', 'employment', 'disease']",1556,1210,790,10.4793,8.3942
"['state', 'children', 'employment', 'number_vehicles', 'disease']",1524,1210,790,10.404,8.2034
"['education', 'state', 'children', 'employment', 'disease']",1546,1219,781,10.4507,8.2902
"['state', 'employment', 'marital_status', 'commute_time', 'disease']",1535,1222,778,10.4201,8.2008
"['gender', 'state', 'marital_status', 'accommodation', 'disease']",1537,1224,776,10.4238,8.2031
"['dob', 'employment', 'number_vehicles', 'accommodation', 'disease']",1558,1227,773,10.4734,8.3203
"['state', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1558,1233,767,10.4677,8.2843
"['gender', 'state', 'children', 'number_vehicles', 'accommodation', 'disease']",1553,1234,766,10.4582,8.256
"['dob', 'number_vehicles', 'commute_time', 'disease']",1563,1237,763,10.4787,8.2987
"['gender', 'state', 'children', 'employment', 'accommodation', 'disease']",1553,1239,761,10.4546,8.2283
"['education', 'state', 'children', 'number_vehicles', 'disease']",1570,1248,752,10.4832,8.2711
"['gender', 'state', 'children', 'commute_time', 'accommodation', 'disease']",1563,1250,750,10.4703,8.2295
"['state', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",1550,1250,750,10.4361,8.1382
"['gender', 'dob', 'children', 'employment', 'accommodation', 'disease']",1581,1251,749,10.5076,8.3253
"['state', 'employment', 'number_vehicles', 'accommodation', 'disease']",1557,1251,749,10.4522,8.1775
"['dob', 'employment', 'marital_status', 'commute_time', 'disease']",1558,1253,747,10.4536,8.1736
"['gender', 'dob', 'number_vehicles', 'disease']",1591,1254,746,10.5284,8.3704
"['gender', 'state', 'children', 'marital_status', 'accommodation', 'disease']",1556,1258,742,10.4458,8.1337
"['education', 'dob', 'accommodation', 'disease']",1604,1279,721,10.5404,8.3137
"['dob', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",1575,1284,716,10.472,8.1044
"['dob', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",1597,1286,714,10.5222,8.2372
"['dob', 'employment', 'marital_status', 'accommodation', 'disease']",1587,1289,711,10.5008,8.1656
"['dob', 'children', 'number_vehicles', 'commute_time', 'disease']",1602,1299,701,10.5254,8.1968
"['state', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1591,1302,698,10.495,8.0981
"['education', 'gender', 'state', 'accommodation', 'disease']",1608,1308,692,10.5326,8.1827
"['gender', 'state', 'employment', 'marital_status', 'disease']",1594,1308,692,10.4989,8.0854
"['gender', 'state', 'marital_status', 'commute_time', 'disease']",1592,1308,692,10.495,8.0739
"['dob', 'employment', 'number_vehicles', 'commute_time', 'disease']",1603,1310,690,10.5218,8.1436
"['dob', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",1601,1313,687,10.5165,8.1163
"['education', 'dob', 'commute_time', 'disease']",1613,1314,686,10.5411,8.1839
"['state', 'employment', 'number_vehicles', 'commute_time', 'disease']",1602,1314,686,10.5127,8.1012
"['education', 'gender', 'dob', 'disease']",1628,1315,685,10.5689,8.2611
"['state', 'marital_status', 'commute_time', 'accommodation', 'disease']",1602,1326,674,10.5071,8.0354
"['gender', 'state', 'children', 'employment', 'marital_status', 'disease']",1604,1327,673,10.5099,8.0397
"['state', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1605,1328,672,10.5106,8.0377
"['state', 'employment', 'marital_status', 'accommodation', 'disease']",1593,1328,672,10.4788,7.943
"['gender', 'dob', 'children', 'number_vehicles', 'disease']",1637,1329,671,10.5813,8.2441
"['gender', 'dob', 'commute_time', 'accommodation', 'disease']",1630,1331,669,10.5646,8.1864
"['education', 'state', 'employment', 'commute_time', 'disease']",1625,1332,668,10.5529,8.1475
"['gender', 'dob', 'employment', 'marital_status', 'disease']",1620,1334,666,10.5433,8.1107
"['gender', 'state', 'children', 'marital_status', 'commute_time', 'disease']",1607,1334,666,10.5123,8.0176
"['state', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",1605,1334,666,10.5089,8.0073
"['education', 'dob', 'children', 'accommodation', 'disease']",1638,1337,663,10.5789,8.2057
"['education', 'state', 'number_vehicles', 'accommodation', 'disease']",1629,1340,660,10.5571,8.1279
"['state', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1620,1344,656,10.537,8.0502
"['state', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",1615,1350,650,10.5211,7.9759
"['state', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",1606,1352,648,10.4926,7.8793
"['education', 'dob', 'children', 'commute_time', 'disease']",1641,1358,642,10.5745,8.1076
"['gender', 'dob', 'children', 'employment', 'marital_status', 'disease']",1634,1359,641,10.5585,8.0533
"['gender', 'state', 'number_vehicles', 'commute_time', 'disease']",1642,1361,639,10.5732,8.0908
"['gender', 'state', 'employment', 'commute_time', 'accommodation', 'disease']",1637,1362,638,10.5621,8.0519
"['dob', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",1638,1364,636,10.5645,8.051
"['dob', 'marital_status', 'number_vehicles', 'disease']",1643,1366,634,10.5756,8.0776
"['education', 'state', 'commute_time', 'accommodation', 'disease']",1657,1372,628,10.5974,8.1214
"['gender', 'dob', 'employment', 'commute_time', 'accommodation', 'disease']",1652,1372,628,10.5877,8.0906
"['dob', 'children', 'marital_status', 'number_vehicles', 'disease']",1650,1378,622,10.5834,8.0512
"['state', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",1643,1383,617,10.5604,7.9551
"['education', 'gender', 'dob', 'children', 'disease']",1667,1385,615,10.6109,8.1104
"['education', 'dob', 'employment', 'commute_time', 'disease']",1655,1385,615,10.5883,8.0367
"['dob', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1653,1390,610,10.5805,7.9895
"['education', 'dob', 'marital_status', 'disease']",1666,1395,605,10.6051,8.0485
"['education', 'state', 'employment', 'accommodation', 'disease']",1664,1396,604,10.5993,8.0249
"['gender', 'dob', 'children', 'commute_time', 'accommodation', 'disease']",1669,1397,603,10.6093,8.0536
"['education', 'state', 'children', 'employment', 'commute_time', 'disease']",1666,1403,597,10.6,7.9963
"['education', 'dob', 'children', 'marital_status', 'disease']",1673,1409,591,10.6121,8.0102
"['dob', 'marital_status', 'commute_time', 'accommodation', 'disease']",1667,1411,589,10.599,7.9568
"['gender', 'state', 'marital_status', 'number_vehicles', 'disease']",1663,1411,589,10.5891,7.9232
"['gender', 'dob', 'number_vehicles', 'accommodation', 'disease']",1683,1412,588,10.6304,8.0591
"['education', 'gender', 'state', 'children', 'accommodation', 'disease']",1671,1412,588,10.606,7.9758
"['education', 'dob', 'employment', 'accommodation', 'disease']",1680,1413,587,10.6236,8.0315
"['education', 'gender', 'state', 'commute_time', 'disease']",1675,1413,587,10.612,7.992
"['gender', 'dob', 'employment', 'number_vehicles', 'disease']",1683,1416,584,10.6289,8.0362
"['education', 'state', 'marital_status', 'accommodation', 'disease']",1671,1417,583,10.6028,7.9423
"['gender', 'state', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",1671,1417,583,10.6027,7.9417
"['gender', 'state', 'employment', 'number_vehicles', 'disease']",1675,1422,578,10.6075,7.9351
"['education', 'state', 'children', 'number_vehicles', 'accommodation', 'disease']",1682,1427,573,10.6188,7.9512
"['dob', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",1676,1427,573,10.609,7.9172
"['state', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1672,1427,573,10.5978,7.8781
"['education', 'dob', 'children', 'employment', 'commute_time', 'disease']",1683,1429,571,10.6217,7.9521
"['gender', 'state', 'children', 'marital_status', 'number_vehicles', 'disease']",1674,1430,570,10.6022,7.8791
"['dob', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1681,1432,568,10.6155,7.9162
"['dob', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1675,1432,568,10.6033,7.8733
"['gender', 'dob', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",1689,1435,565,10.63,7.9536
"['education', 'state', 'children', 'marital_status', 'accommodation', 'disease']",1683,1441,559,10.6148,7.8711
"['gender', 'state', 'children', 'number_vehicles', 'commute_time', 'disease']",1689,1444,556,10.625,7.8932
"['education', 'gender', 'dob', 'employment', 'disease']",1701,1447,553,10.6486,7.9639
"['gender', 'dob', 'marital_status', 'accommodation', 'disease']",1705,1449,551,10.6551,7.9781
"['education', 'dob', 'number_vehicles', 'disease']",1705,1450,550,10.6545,7.9712
"['education', 'state', 'children', 'commute_time', 'accommodation', 'disease']",1701,1453,547,10.6456,7.9248
"['education', 'gender', 'state', 'employment', 'disease']",1700,1454,546,10.6425,7.9087
"['gender', 'dob', 'children', 'marital_status', 'accommodation', 'disease']",1713,1462,538,10.6642,7.9504
"['gender', 'dob', 'marital_status', 'commute_time', 'disease']",1705,1464,536,10.6469,7.8763
"['education', 'state', 'children', 'employment', 'accommodation', 'disease']",1703,1464,536,10.644,7.8654
"['gender', 'dob', 'children', 'number_vehicles', 'accommodation', 'disease']",1716,1465,535,10.6688,7.9533
"['education', 'dob', 'children', 'employment', 'accommodation', 'disease']",1710,1465,535,10.6571,7.9096
"['dob', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1701,1470,530,10.6362,7.8062
"['dob', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1699,1470,530,10.6334,7.7957
"['education', 'gender', 'state', 'marital_status', 'disease']",1699,1473,527,10.6308,7.7704
"['gender', 'state', 'employment', 'marital_status', 'commute_time', 'disease']",1706,1475,525,10.6432,7.8072
"['state', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1705,1476,524,10.6415,7.7958
"['gender', 'dob', 'children', 'employment', 'number_vehicles', 'disease']",1720,1478,522,10.671,7.8983
"['education', 'gender', 'state', 'number_vehicles', 'disease']",1716,1482,518,10.6599,7.8356
"['state', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1704,1483,517,10.6345,7.7326
"['gender', 'dob', 'children', 'marital_status', 'commute_time', 'disease']",1717,1486,514,10.6597,7.8145
"['gender', 'state', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",1712,1486,514,10.6496,7.7752
"['dob', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1708,1486,514,10.6434,7.7513
"['gender', 'state', 'children', 'employment', 'number_vehicles', 'disease']",1713,1488,512,10.6501,7.7667
"['education', 'gender', 'state', 'children', 'commute_time', 'disease']",1719,1489,511,10.662,7.8081
"['state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1716,1494,506,10.6545,7.7525
"['state', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1707,1495,505,10.6326,7.6607
"['education', 'gender', 'state', 'children', 'marital_status', 'disease']",1711,1496,504,10.6432,7.6971
"['education', 'dob', 'children', 'number_vehicles', 'disease']",1732,1498,502,10.684,7.8488
"['state', 'employment', 'marital_status', 'number_vehicles', 'disease']",1713,1501,499,10.6406,7.6594
"['dob', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1727,1505,495,10.6721,7.7645
"['education', 'state', 'marital_status', 'commute_time', 'disease']",1727,1506,494,10.6696,7.7493
"['education', 'gender', 'dob', 'children', 'employment', 'disease']",1736,1509,491,10.6866,7.8023
"['gender', 'dob', 'employment', 'number_vehicles', 'accommodation', 'disease']",1738,1510,490,10.69,7.8109
"['state', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1715,1511,489,10.6406,7.6038
"['gender', 'dob', 'employment', 'marital_status', 'commute_time', 'disease']",1732,1515,485,10.675,7.7229
"['state', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",1720,1515,485,10.6476,7.6096
"['dob', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1734,1517,483,10.6798,7.7318
"['dob', 'employment', 'marital_status', 'number_vehicles', 'disease']",1731,1517,483,10.6741,7.7079
"['gender', 'state', 'employment', 'number_vehicles', 'accommodation', 'disease']",1734,1518,482,10.6781,7.7192
"['education', 'state', 'children', 'marital_status', 'commute_time', 'disease']",1735,1521,479,10.678,7.7022
"['education', 'dob', 'employment', 'marital_status', 'disease']",1742,1524,476,10.691,7.7401
"['education', 'state', 'employment', 'marital_status', 'disease']",1734,1526,474,10.6746,7.6601
"['gender', 'state', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1741,1527,473,10.6879,7.7107
"['education', 'gender', 'state', 'children', 'employment', 'disease']",1741,1530,470,10.6865,7.6882
"['dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",1738,1530,470,10.6814,7.6665
"['gender', 'dob', 'number_vehicles', 'commute_time', 'disease']",1748,1533,467,10.6988,7.724
"['education', 'state', 'children', 'employment', 'marital_status', 'disease']",1740,1536,464,10.6813,7.6319
"['gender', 'dob', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",1744,1537,463,10.6878,7.6541
"['education', 'dob', 'children', 'employment', 'marital_status', 'disease']",1749,1538,462,10.698,7.6924
"['education', 'state', 'number_vehicles', 'commute_time', 'disease']",1754,1542,458,10.7053,7.7017
"['gender', 'state', 'employment', 'marital_status', 'accommodation', 'disease']",1740,1543,457,10.677,7.5723
"['education', 'dob', 'commute_time', 'accommodation', 'disease']",1755,1549,451,10.7044,7.6579
"['gender', 'state', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1756,1556,444,10.7022,7.6072
"['gender', 'state', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",1747,1556,444,10.6844,7.5269
"['gender', 'dob', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",1766,1557,443,10.7219,7.6899
"['education', 'state', 'marital_status', 'number_vehicles', 'disease']",1757,1557,443,10.7039,7.6089
"['education', 'gender', 'state', 'children', 'number_vehicles', 'disease']",1760,1560,440,10.7085,7.6121
"['gender', 'state', 'marital_status', 'commute_time', 'accommodation', 'disease']",1755,1560,440,10.6982,7.5653
"['education', 'gender', 'dob', 'commute_time', 'disease']",1766,1562,438,10.72,7.6524
"['education', 'gender', 'dob', 'accommodation', 'disease']",1772,1565,435,10.7296,7.679
"['education', 'state', 'employment', 'commute_time', 'accommodation', 'disease']",1766,1565,435,10.7177,7.6241
"['education', 'dob', 'employment', 'number_vehicles', 'disease']",1770,1567,433,10.7249,7.6454
"['gender', 'dob', 'employment', 'marital_status', 'accommodation', 'disease']",1767,1567,433,10.7193,7.62
"['gender', 'state', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1763,1568,432,10.7105,7.5732
"['education', 'state', 'employment', 'number_vehicles', 'disease']",1767,1570,430,10.7163,7.5878
"['education', 'state', 'children', 'marital_status', 'number_vehicles', 'disease']",1764,1570,430,10.7113,7.5645
"['gender', 'dob', 'employment', 'number_vehicles', 'commute_time', 'disease']",1768,1571,429,10.7198,7.5982
"['gender', 'state', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",1765,1573,427,10.7124,7.5513
"['gender', 'state', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",1762,1573,427,10.7059,7.5207
"['education', 'dob', 'employment', 'commute_time', 'accommodation', 'disease']",1771,1576,424,10.7223,7.5794
"['gender', 'state', 'employment', 'number_vehicles', 'commute_time', 'disease']",1768,1576,424,10.7161,7.5502
"['gender', 'dob', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",1774,1578,422,10.7275,7.5917
"['gender', 'dob', 'children', 'number_vehicles', 'commute_time', 'disease']",1776,1579,421,10.7311,7.6028
"['education', 'dob', 'number_vehicles', 'accommodation', 'disease']",1778,1582,418,10.7332,7.5947
"['education', 'dob', 'children', 'commute_time', 'accommodation', 'disease']",1773,1582,418,10.7238,7.5495
"['gender', 'state', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1776,1591,409,10.7254,7.5005
"['dob', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1777,1594,406,10.7265,7.4864
"['education', 'gender', 'dob', 'employment', 'commute_time', 'disease']",1785,1597,403,10.7403,7.5358
"['education', 'gender', 'dob', 'children', 'commute_time', 'disease']",1788,1600,400,10.7442,7.5361
"['state', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1772,1601,399,10.71,7.3579
"['education', 'state', 'children', 'number_vehicles', 'commute_time', 'disease']",1786,1602,398,10.7392,7.4982
"['dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1784,1607,393,10.7338,7.438
"['state', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1775,1607,393,10.713,7.3318
"['education', 'gender', 'state', 'employment', 'commute_time', 'disease']",1789,1608,392,10.7417,7.4717
"['education', 'dob', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",1789,1609,391,10.7417,7.4647
"['education', 'gender', 'dob', 'children', 'accommodation', 'disease']",1797,1611,389,10.7561,7.5257
"['education', 'dob', 'children', 'employment', 'number_vehicles', 'disease']",1794,1611,389,10.7504,7.4961
"['gender', 'dob', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",1793,1611,389,10.7491,7.4896
"['education', 'state', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",1792,1613,387,10.7463,7.4622
"['education', 'dob', 'marital_status', 'commute_time', 'disease']",1793,1616,384,10.7465,7.4428
"['education', 'dob', 'children', 'number_vehicles', 'accommodation', 'disease']",1798,1617,383,10.7554,7.4824
"['education', 'dob', 'marital_status', 'accommodation', 'disease']",1797,1617,383,10.7539,7.4745
"['dob', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1789,1617,383,10.7388,7.3961
"['education', 'gender', 'state', 'number_vehicles', 'accommodation', 'disease']",1795,1619,381,10.7489,7.4349
"['education', 'state', 'children', 'employment', 'number_vehicles', 'disease']",1795,1619,381,10.7478,7.4292
"['gender', 'state', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",1793,1621,379,10.7432,7.3917
"['state', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1792,1622,378,10.7417,7.3767
"['education', 'dob', 'children', 'marital_status', 'accommodation', 'disease']",1800,1623,377,10.7569,7.4501
"['dob', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1793,1624,376,10.7432,7.3707
"['gender', 'dob', 'marital_status', 'number_vehicles', 'disease']",1806,1626,374,10.7665,7.4812
"['education', 'dob', 'children', 'marital_status', 'commute_time', 'disease']",1799,1628,372,10.7525,7.3924
"['gender', 'dob', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1802,1629,371,10.7576,7.4131
"['gender', 'dob', 'children', 'marital_status', 'number_vehicles', 'disease']",1809,1631,369,10.7699,7.4657
"['state', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1797,1631,369,10.7461,7.3369
"['state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1798,1633,367,10.7483,7.3347
"['education', 'gender', 'dob', 'children', 'employment', 'commute_time', 'disease']",1807,1635,365,10.7646,7.4094
"['education', 'gender', 'dob', 'marital_status', 'disease']",1809,1637,363,10.7671,7.4093
"['education', 'gender', 'state', 'commute_time', 'accommodation', 'disease']",1811,1641,359,10.7694,7.3936
"['state', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1803,1643,357,10.7521,7.2828
"['education', 'gender', 'dob', 'children', 'marital_status', 'disease']",1813,1645,355,10.7711,7.375
"['education', 'gender', 'state', 'employment', 'accommodation', 'disease']",1813,1647,353,10.7704,7.3563
"['gender', 'dob', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1811,1647,353,10.7666,7.3351
"['education', 'gender', 'dob', 'employment', 'accommodation', 'disease']",1815,1648,352,10.7737,7.3683
"['gender', 'dob', 'marital_status', 'commute_time', 'accommodation', 'disease']",1815,1648,352,10.7735,7.3669
"['education', 'dob', 'number_vehicles', 'commute_time', 'disease']",1817,1653,347,10.7751,7.3399
"['education', 'dob', 'employment', 'number_vehicles', 'accommodation', 'disease']",1816,1653,347,10.7734,7.3298
"['education', 'state', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1819,1655,345,10.7779,7.3411
"['gender', 'state', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1813,1656,344,10.7665,7.2675
"['gender', 'dob', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",1821,1658,342,10.7803,7.3329
"['education', 'gender', 'state', 'children', 'employment', 'commute_time', 'disease']",1816,1658,342,10.7707,7.2773
"['education', 'state', 'employment', 'number_vehicles', 'accommodation', 'disease']",1819,1660,340,10.7756,7.2904
"['education', 'state', 'employment', 'marital_status', 'commute_time', 'disease']",1818,1660,340,10.774,7.2812
"['gender', 'dob', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1822,1661,339,10.7811,7.3157
"['dob', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1813,1661,339,10.7643,7.2167
"['education', 'dob', 'employment', 'marital_status', 'commute_time', 'disease']",1821,1665,335,10.7771,7.2617
"['gender', 'state', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1819,1667,333,10.7722,7.2166
"['education', 'state', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",1822,1668,332,10.778,7.2438
"['education', 'gender', 'state', 'marital_status', 'accommodation', 'disease']",1821,1668,332,10.7756,7.2291
"['dob', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1817,1668,332,10.7687,7.1879
"['gender', 'dob', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1828,1674,326,10.7865,7.2488
"['gender', 'state', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1827,1674,326,10.7845,7.2366
"['education', 'dob', 'children', 'number_vehicles', 'commute_time', 'disease']",1830,1676,324,10.7893,7.2502
"['gender', 'dob', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1830,1677,323,10.7891,7.2415
"['education', 'dob', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",1827,1677,323,10.7831,7.2044
"['gender', 'state', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1824,1677,323,10.7772,7.1676
"['education', 'gender', 'state', 'children', 'number_vehicles', 'accommodation', 'disease']",1828,1679,321,10.7846,7.1976
"['gender', 'state', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1831,1681,319,10.7891,7.2098
"['education', 'state', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1830,1681,319,10.7874,7.1988
"['education', 'gender', 'state', 'children', 'marital_status', 'accommodation', 'disease']",1828,1682,318,10.7826,7.1605
